Bid ID,Client,Sector,Budget,Score (%),Outcome,Response Time (hrs),Compliance %,Doc Pages,Gaps Found,Bid Manager,Submission Date,Budget_M,Submission_Month,Submission_Quarter
BID-0001,NLC,Construction,PKR 243.5M,81,Loss,87,60,212,6,Bilal Sheikh,2025-12-03,243.5,12,4
BID-0002,NESPAK,IT Services,PKR 420.9M,67,Win,36,95,142,3,Faiza Iqbal,2025-06-23,420.9,6,2
BID-0003,Jazz,Energy,PKR 110.5M,68,Loss,31,93,212,6,Asif Khan,2025-06-01,110.5,6,2
BID-0004,NLC,IT Services,PKR 484.3M,76,Loss,169,58,175,1,Tariq Mehmood,2025-11-27,484.3,11,4
BID-0005,FWO,IT Services,PKR 358.4M,59,Loss,164,67,348,2,Nadia Ahmed,2025-01-26,358.4,1,1
BID-0006,NESPAK,Education,PKR 107.8M,65,Loss,157,56,145,0,Hira Noor,2025-04-25,107.8,4,2
BID-0007,NESPAK,Education,PKR 370.8M,71,Loss,137,59,142,1,Hira Noor,2025-10-11,370.8,10,4
BID-0008,NBP,Education,PKR 269.6M,78,Win,41,98,280,3,Hira Noor,2025-03-16,269.6,3,1
BID-0009,PIA,Telecom,PKR 356.5M,54,Win,139,81,280,2,Kamran Ali,2025-06-15,356.5,6,2
BID-0010,PSO,Energy,PKR 386.2M,81,Win,69,86,332,1,Faiza Iqbal,2025-07-08,386.2,7,3
BID-0011,BISP,Logistics,PKR 52.8M,64,Win,33,75,342,0,Faiza Iqbal,2025-03-19,52.8,3,1
BID-0012,BISP,Logistics,PKR 258.0M,62,Loss,48,62,147,1,Tariq Mehmood,2025-03-31,258.0,3,1
BID-0013,NDMA,Education,PKR 466.7M,47,Win,144,92,330,1,Tariq Mehmood,2025-06-25,466.7,6,2
BID-0014,NESPAK,Construction,PKR 167.1M,72,Win,26,62,190,5,Faiza Iqbal,2025-01-21,167.1,1,1
BID-0015,PTCL,Telecom,PKR 301.0M,68,Win,48,57,430,2,Bilal Sheikh,2025-02-23,301.0,2,1
BID-0016,PIMS,Healthcare,PKR 190.9M,56,Loss,158,98,227,6,Tariq Mehmood,2025-07-03,190.9,7,3
BID-0017,HEC,Construction,PKR 232.6M,69,Loss,52,57,289,2,Bilal Sheikh,2025-12-25,232.6,12,4
BID-0018,NDMA,Finance,PKR 278.8M,53,Loss,153,76,177,5,Sara Malik,2025-08-10,278.8,8,3
BID-0019,SBP,Finance,PKR 279.0M,41,Loss,130,60,269,2,Zara Hussain,2025-11-11,279.0,11,4
BID-0020,CDA,Construction,PKR 108.8M,64,Loss,98,56,76,1,Asif Khan,2025-11-24,108.8,11,4
BID-0021,SBP,Education,PKR 345.4M,49,Loss,77,77,428,1,Tariq Mehmood,2025-06-28,345.4,6,2
BID-0022,NEPRA,Healthcare,PKR 53.1M,85,Win,45,98,227,2,Faiza Iqbal,2025-10-03,53.1,10,4
BID-0023,OGDCL,Healthcare,PKR 78.0M,68,Win,48,56,76,3,Zara Hussain,2025-04-22,78.0,4,2
BID-0024,PEMRA,Telecom,PKR 11.3M,74,Win,23,92,107,2,Zara Hussain,2025-08-12,11.3,8,3
BID-0025,NEPRA,Healthcare,PKR 67.2M,65,Loss,118,71,153,1,Usman Raza,2025-08-02,67.2,8,3
BID-0026,CDA,Finance,PKR 241.9M,84,Win,160,89,104,5,Faiza Iqbal,2025-02-28,241.9,2,1
BID-0027,NLC,Energy,PKR 307.0M,86,Win,58,88,388,5,Asif Khan,2025-11-23,307.0,11,4
BID-0028,PTCL,Education,PKR 399.2M,88,Win,34,77,166,2,Faiza Iqbal,2025-04-19,399.2,4,2
BID-0029,BISP,Healthcare,PKR 62.3M,59,Loss,138,84,119,1,Tariq Mehmood,2025-06-06,62.3,6,2
BID-0030,SBP,Telecom,PKR 426.9M,52,Win,48,62,429,3,Nadia Ahmed,2025-07-10,426.9,7,3
BID-0031,NESPAK,Finance,PKR 375.5M,71,Win,94,76,354,0,Sara Malik,2025-07-19,375.5,7,3
BID-0032,WAPDA,Energy,PKR 210.2M,86,Win,135,98,90,2,Bilal Sheikh,2025-11-08,210.2,11,4
BID-0033,BISP,IT Services,PKR 467.1M,79,Win,51,90,167,6,Nadia Ahmed,2025-07-15,467.1,7,3
BID-0034,PIMS,IT Services,PKR 495.6M,55,Loss,149,59,79,7,Sara Malik,2025-02-04,495.6,2,1
